2023-10-20 11:34:07,920 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2023-10-20 11:34:07,921 - INFO - Added job "my_job" to job store "default"
2023-10-20 11:34:07,921 - INFO - Scheduler started
2023-10-20 11:34:07,939 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2023-10-20 11:34:07,939 - INFO - [33mPress CTRL+C to quit[0m
2023-10-20 11:34:07,940 - INFO -  * Restarting with stat
2023-10-20 11:34:12,043 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2023-10-20 11:34:12,044 - INFO - Added job "my_job" to job store "default"
2023-10-20 11:34:12,046 - INFO - Scheduler started
2023-10-20 11:34:12,053 - WARNING -  * Debugger is active!
2023-10-20 11:34:12,054 - INFO -  * Debugger PIN: 472-615-425
2023-10-20 11:34:13,813 - INFO - 127.0.0.1 - - [20/Oct/2023 11:34:13] "GET / HTTP/1.1" 200 -
2023-10-20 11:34:14,377 - INFO - 127.0.0.1 - - [20/Oct/2023 11:34:14] "GET /video_feed HTTP/1.1" 200 -
2023-10-20 11:38:47,928 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:38:57 +0530)" executed successfully
2023-10-20 11:38:57,937 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:07 +0530)" (scheduled at 2023-10-20 11:38:57.920862+05:30)
2023-10-20 11:38:57,937 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:07 +0530)" executed successfully
2023-10-20 11:39:07,935 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:17 +0530)" (scheduled at 2023-10-20 11:39:07.920862+05:30)
2023-10-20 11:39:07,948 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:17 +0530)" executed successfully
2023-10-20 11:39:17,921 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:27 +0530)" (scheduled at 2023-10-20 11:39:17.920862+05:30)
2023-10-20 11:39:17,921 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:27 +0530)" executed successfully
2023-10-20 11:39:27,932 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:37 +0530)" (scheduled at 2023-10-20 11:39:27.920862+05:30)
2023-10-20 11:39:27,932 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:37 +0530)" executed successfully
2023-10-20 11:39:37,932 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:47 +0530)" (scheduled at 2023-10-20 11:39:37.920862+05:30)
2023-10-20 11:39:37,939 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:47 +0530)" executed successfully
2023-10-20 11:39:47,927 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:57 +0530)" (scheduled at 2023-10-20 11:39:47.920862+05:30)
2023-10-20 11:39:47,937 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:39:57 +0530)" executed successfully
2023-10-20 11:39:57,928 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:07 +0530)" (scheduled at 2023-10-20 11:39:57.920862+05:30)
2023-10-20 11:39:57,928 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:07 +0530)" executed successfully
2023-10-20 11:40:07,925 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:17 +0530)" (scheduled at 2023-10-20 11:40:07.920862+05:30)
2023-10-20 11:40:07,925 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:17 +0530)" executed successfully
2023-10-20 11:40:17,936 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:27 +0530)" (scheduled at 2023-10-20 11:40:17.920862+05:30)
2023-10-20 11:40:17,945 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:27 +0530)" executed successfully
2023-10-20 11:40:27,924 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:37 +0530)" (scheduled at 2023-10-20 11:40:27.920862+05:30)
2023-10-20 11:40:27,924 - INFO - Job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:37 +0530)" executed successfully
2023-10-20 11:40:37,927 - INFO - Running job "my_job (trigger: interval[0:00:10], next run at: 2023-10-20 11:40:47 +0530)" (scheduled at 2023-10-20 11:40:37.920862+05:30)
